,accuracy,tn,fp,fn,tp,roc_auc,sensitivity,specificity,precision
64,0.8797079920768738,112748,3583,12993,8474,0.6819726228713989,0.39474542320771416,0.9691999552999631,0.7028282325619972
65,0.879766047000885,112578,3753,12815,8652,0.685387909412384,0.40303721991894537,0.9677386079376951,0.6974607013301088
66,0.8793378472328186,112752,3579,13048,8419,0.6807088255882263,0.3921833511901989,0.969234339943781,0.7017002833805634
67,0.8795700669288635,112589,3742,12853,8614,0.6845501065254211,0.40126706107048027,0.9678331657081947,0.6971511816121723
68,0.8790040612220764,112736,3595,13078,8389,0.6799412965774536,0.3907858573624633,0.9690968013685088,0.7000166889185581
69,0.8790621161460876,112571,3760,12905,8562,0.6832615733146667,0.3988447384357386,0.9676784348110135,0.6948547313747768
70,0.8788371682167053,112740,3591,13105,8362,0.6793296933174133,0.3895281129175013,0.9691311860123268,0.699573328871413
71,0.8788734078407288,112596,3735,12956,8511,0.682181179523468,0.39646899892858806,0.9678933388348764,0.6950024497795199
72,0.8787209987640381,112756,3575,13137,8330,0.6786530613899231,0.3880374528345833,0.9692687245875992,0.6997060058798824
73,0.8787935972213745,112601,3730,12972,8495,0.6818300485610962,0.39572366888712907,0.9679363196396489,0.6948875255623722
74,0.8785033226013184,112780,3551,13191,8276,0.6774985194206238,0.38552196394465926,0.9694750324505076,0.699754798342775
75,0.8782348036766052,112599,3732,13047,8420,0.6800745129585266,0.3922299343177901,0.9679191273177399,0.6928900592495063
76,0.8781042098999023,112764,3567,13230,8237,0.676521360874176,0.38370522196860296,0.9693374938752353,0.6978143002372077
77,0.8780098557472229,112605,3726,13084,8383,0.6792385578155518,0.3905063585969162,0.967970704283467,0.6922949871996036
78,0.8779299855232239,112769,3562,13259,8208,0.6758673787117004,0.3823543112684586,0.9693804746800079,0.6973661852166525
79,0.8778501749038696,112615,3716,13116,8351,0.6785361766815186,0.38901569851399825,0.9680566658930122,0.6920527057263611
80,0.877799391746521,112767,3564,13275,8192,0.6754860877990723,0.3816089812269996,0.9693632823580989,0.6968356583872065
81,0.8777486085891724,112626,3705,13141,8326,0.6780011653900146,0.3878511203242186,0.9681512236635119,0.6920455489984207
82,0.8776034712791443,112772,3559,13307,8160,0.6747623085975647,0.3801183211440816,0.9694062631628715,0.6963051454902296
83,0.8772986531257629,112603,3728,13180,8287,0.6769939661026001,0.3860343783481623,0.967953511961558,0.6897211818560133
84,0.8772333264350891,112764,3567,13350,8117,0.6737263202667236,0.3781152466576606,0.9693374938752353,0.6947107155083876
85,0.8772042989730835,112613,3718,13203,8264,0.6765012145042419,0.38496296641356503,0.9680394735711031,0.6897012184944082
86,0.8769212961196899,112759,3572,13388,8079,0.6728198528289795,0.3763450878091955,0.9692945130704628,0.6934168740880611
87,0.8768414855003357,112612,3719,13252,8215,0.6753556728363037,0.38268039316159685,0.9680308774101486,0.688369364839953
88,0.8767035603523254,112748,3583,13407,8060,0.6723299622535706,0.37546000838496296,0.9691999552999631,0.692261444644851
89,0.8767834305763245,112635,3696,13283,8184,0.6747324466705322,0.3812363162062701,0.9682285891121025,0.6888888888888889
90,0.8764858841896057,112773,3558,13462,8005,0.6711563467979431,0.3728979363674477,0.969414859323826,0.6922943872697397
91,0.8764205574989319,112640,3691,13338,8129,0.6734729409217834,0.37867424418875484,0.9682715699168751,0.6877326565143824
92,0.8763988018035889,112786,3545,13487,7980,0.6706299781799316,0.37173335817766806,0.9695266094162347,0.692407809110629
93,0.8762463927268982,112639,3692,13361,8106,0.6729328632354736,0.3776028322541575,0.9682629737559206,0.6870656043397186
94,0.8760504722595215,112761,3570,13510,7957,0.6699868440628052,0.37066194624307075,0.9693117053923718,0.6902923570746942
95,0.875956118106842,112628,3703,13390,8077,0.6722102165222168,0.37625192155401316,0.9681684159854209,0.685653650254669
96,0.8757746815681458,112757,3574,13544,7923,0.6691777110099792,0.3690781199049704,0.9692773207485537,0.6891362964251544
97,0.875956118106842,112644,3687,13406,8061,0.6719062924385071,0.37550659151255417,0.9683059545606932,0.6861593462717058
98,0.8758254647254944,112767,3564,13547,7920,0.6691508293151855,0.36893837052219686,0.9693632823580989,0.6896551724137931
99,0.8755351901054382,112618,3713,13438,8029,0.6710491180419922,0.3740159314296362,0.9680824543758757,0.6837847044796457
100,0.8754408359527588,112767,3564,13600,7867,0.6679163575172424,0.36646946475986397,0.9693632823580989,0.6882162540460153
